circID	chr	start	end	geneID	strand
6__159004986__159029782	6	159004986	159029782	TMEM181	+
8__42317414__42330172	8	42317414	42330172	SLC20A2	-
13__60348323__60385057	13	60348323	60385057	DIAPH3	-
11__82917100__82922472	11	82917100	82922472	ANKRD42	+
2__62100137__62103369	2	62100137	62103369	CCT4	-
2__48555700__48573890	2	48555700	48573890	FOXN2	+
3__27453133__27465643	3	27453133	27465643	SLC4A7	-
20__25398741__25422412	20	25398741	25422412	GINS1	+
4__6998052__7006651	4	6998052	7006651	TBC1D14	+
7__151917608__151921701	7	151917608	151921701	MLL3	-
5__93111865__93120205	5	93111865	93120205	FAM172A	-
19__53158814__53164096	19	53158814	53164096	ZNF83	-
1__155408118__155429689	1	155408118	155429689	ASH1L	-
14__20871536__20874559	14	20871536	20874559	TEP1	-
9__95030456__95032265	9	95030456	95032265	IARS	-
13__79945080__79946065	13	79945080	79946065	RBM26	-
10__12123471__12143180	10	12123471	12143180	DHTKD1	+
7__151960101__151962294	7	151960101	151962294	MLL3	-
9__115166275__115181238	9	115166275	115181238	HSDL2	+
13__114538486__114541164	13	114538486	114541164	GAS6	-
16__57197913__57207781	16	57197913	57207781	FAM192A	-
9__138754313__138758382	9	138754313	138758382	CAMSAP1	-
21__47916901__47931527	21	47916901	47931527	DIP2A	+
2__216279560__216284108	2	216279560	216284108	FN1	-
1__38047824__38049534	1	38047824	38049534	GNL2	-
10__27431316__27434519	10	27431316	27434519	YME1L1	-
2__39519914__39536660	2	39519914	39536660	MAP4K3	-
12__96717726__96728643	12	96717726	96728643	CDK17	-
6__158288579__158296208	6	158288579	158296208	SNX9	+
1__183077411__183079789	1	183077411	183079789	LAMC1	+
3__136096502__136141886	3	136096502	136141886	STAG1	-
5__115202367__115205825	5	115202367	115205825	AP3S1	+
19__40964062__40964452	19	40964062	40964452	BLVRB	-
13__60435541__60490383	13	60435541	60490383	DIAPH3	-
2__112917253__112942916	2	112917253	112942916	FBLN7	+
1__52215817__52231653	1	52215817	52231653	OSBPL9	+
1__38047824__38053096	1	38047824	38053096	GNL2	-
5__95249475__95255249	5	95249475	95255249	ELL2	-
16__68059318__68072052	16	68059318	68072052	DUS2L	+
14__21840033__21841589	14	21840033	21841589	SUPT16H	-
1__43161870__43162615	1	43161870	43162615	YBX1	+
2__48049357__48050499	2	48049357	48050499	FBXO11	-
19__41847788__41848152	19	41847788	41848152	TGFB1	-
11__77824932__77825438	11	77824932	77825438	ALG8	-
16__9023226__9024254	16	9023226	9024254	USP7	-
12__56956201__56965639	12	56956201	56965639	RBMS2	+
9__96392252__96398807	9	96392252	96398807	PHF2	+
8__41455811__41456823	8	41455811	41456823	AGPAT6	+
11__119050402__119050997	11	119050402	119050997	NLRX1	+
13__111335398__111357918	13	111335398	111357918	CARS2	-
16__23494244__23498111	16	23494244	23498111	GGA2	-
11__46837749__46837955	11	46837749	46837955	CKAP5	-
3__57832924__57843886	3	57832924	57843886	SLMAP	+
16__74493580__74497377	16	74493580	74497377	GLG1	-
18__23612363__23637706	18	23612363	23637706	SS18	-
12__69983265__69985939	12	69983265	69985939	CCT2	+
10__43654163__43671480	10	43654163	43671480	CSGALNACT2	+
15__41648237__41668026	15	41648237	41668026	NUSAP1	+
3__47484362__47484581	3	47484362	47484581	SCAP	-
2__58449077__58459247	2	58449077	58459247	FANCL	-
18__19345733__19359646	18	19345733	19359646	MIB1	+
20__30380538__30382351	20	30380538	30382351	TPX2	+
5__73128163__73136585	5	73128163	73136585	RGNEF	+
14__37754523__37777724	14	37754523	37777724	MIPOL1	+
17__27809215__27818883	17	27809215	27818883	TAOK1	+
4__177632653__177650900	4	177632653	177650900	VEGFC	-
14__53339517__53340944	14	53339517	53340944	FERMT2	-
5__14270934__14280545	5	14270934	14280545	TRIO	+
14__39517856__39524500	14	39517856	39524500	SEC23A	-
8__25220563__25222220	8	25220563	25222220	DOCK5	+
1__233334685__233363117	1	233334685	233363117	PCNXL2	-
